Cell.01	Cell.02	Cell.03	Cell.04	Cell.05	Cell.06	Cell.07	Cell.08	Cell.09	Cell.10	Cell.11	Cell.12	Cell.13	Cell.14	Cell.15	Cell.16	Cell.17	Cell.18	Cell.19	Cell.20
GeneID33	54	56	45	48	48	0	0	0	0	0	1	0	2	4	1	0	0	0	0	0
GeneID34	48	50	41	47	43	0	0	0	0	0	2	3	2	2	5	0	0	0	0	0
GeneID35	53	43	58	48	50	0	0	0	0	0	2	3	1	0	3	0	0	0	0	0
GeneID36	52	54	60	51	60	0	0	0	0	0	2	3	0	2	2	0	0	0	0	0
GeneID37	56	37	58	39	41	0	0	0	0	0	4	3	1	3	0	0	0	0	0	0
GeneID38	51	55	43	62	44	0	0	0	0	0	2	1	2	0	3	0	0	0	0	0
GeneID39	38	32	48	46	41	0	0	0	0	0	3	1	4	2	4	0	0	0	0	0
GeneID40	51	50	53	59	50	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
GeneID41	40	37	56	54	55	0	0	0	0	0	2	3	2	2	1	0	0	0	0	0
GeneID42	54	52	50	57	52	0	0	0	0	0	3	2	2	2	5	0	0	0	0	0
GeneID43	54	61	50	45	55	0	0	0	0	0	3	1	0	4	1	0	0	0	0	0
GeneID44	52	46	49	49	42	0	0	0	0	0	1	3	1	2	4	0	0	0	0	0
GeneID45	46	53	45	50	49	0	0	0	0	0	2	3	2	0	2	0	0	0	0	0
GeneID46	56	51	49	59	43	0	0	0	0	0	2	3	1	2	3	0	0	0	0	0
GeneID47	41	53	57	53	54	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0
GeneID48	47	46	53	55	55	0	0	0	0	0	4	1	2	2	0	0	0	0	0	0
GeneID49	44	47	48	49	48	0	0	0	0	0	5	0	1	2	1	0	0	0	0	0
GeneID50	45	55	58	55	56	0	0	0	0	0	1	3	2	3	4	0	0	0	0	0
GeneID51	51	43	48	54	59	0	0	0	0	0	0	1	0	3	3	0	0	0	0	0
GeneID52	32	50	62	36	46	0	0	0	0	0	1	1	4	1	4	0	0	0	0	0
GeneID53	47	48	44	44	48	0	0	0	0	0	4	2	3	3	2	0	0	0	0	0
GeneID54	36	33	56	55	48	0	0	0	0	0	6	2	3	1	1	0	0	0	0	0
GeneID55	44	50	47	50	51	0	0	0	0	0	2	3	1	5	2	0	0	0	0	0
GeneID56	44	58	45	45	53	0	0	0	0	0	3	4	2	2	3	0	0	0	0	0
GeneID57	46	37	49	54	53	0	0	0	0	0	1	3	1	4	1	0	0	0	0	0
GeneID58	37	57	55	48	58	0	0	0	0	0	7	2	1	1	3	0	0	0	0	0
GeneID59	53	59	56	54	53	0	0	0	0	0	0	2	0	1	4	0	0	0	0	0
GeneID60	48	52	46	54	52	0	0	0	0	0	1	3	4	3	3	0	0	0	0	0
GeneID61	44	52	61	59	43	0	0	0	0	0	1	1	1	1	5	0	0	0	0	0
GeneID62	61	46	49	44	46	0	0	0	0	0	4	0	2	1	2	0	0	0	0	0
GeneID63	56	41	46	48	53	0	0	0	0	0	2	1	1	2	0	0	0	0	0	0
GeneID64	44	42	54	57	35	0	0	0	0	0	2	2	2	4	2	0	0	0	0	0
GeneID65	56	61	66	36	39	0	0	0	0	0	1	2	2	3	2	0	0	0	0	0
GeneID66	46	58	58	47	56	0	0	0	0	0	1	5	3	0	2	0	0	0	0	0
GeneID67	50	57	48	42	46	0	0	0	0	0	1	2	2	3	0	0	0	0	0	0
GeneID68	45	57	59	42	38	0	0	0	0	0	3	5	3	2	3	0	0	0	0	0
GeneID69	53	50	42	56	48	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0
GeneID70	41	47	60	48	57	0	0	0	0	0	4	3	2	2	3	0	0	0	0	0
GeneID71	46	58	56	54	54	0	0	0	0	0	1	3	2	1	0	0	0	0	0	0
GeneID72	60	55	41	38	43	0	0	0	0	0	4	1	1	7	5	0	0	0	0	0
GeneID73	49	49	39	54	61	0	0	0	0	0	3	0	1	1	3	0	0	0	0	0
GeneID74	44	47	53	52	43	0	0	0	0	0	3	1	4	0	0	0	0	0	0	0
GeneID75	51	52	53	46	54	0	0	0	0	0	1	1	2	1	1	0	0	0	0	0
GeneID76	51	42	48	62	52	0	0	0	0	0	3	3	3	3	2	0	0	0	0	0
GeneID77	47	46	47	45	51	0	0	0	0	0	2	1	3	1	5	0	0	0	0	0
GeneID78	44	43	59	54	44	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0
GeneID79	42	63	48	49	46	0	0	0	0	0	2	2	0	2	3	0	0	0	0	0
GeneID80	50	42	57	50	46	0	0	0	0	0	0	4	2	1	3	0	0	0	0	0
GeneID81	52	64	48	44	62	0	0	0	0	0	3	3	2	1	0	0	0	0	0	0
GeneID82	50	38	44	49	43	0	0	0	0	0	1	2	2	1	1	0	0	0	0	0
GeneID83	53	53	52	52	43	0	0	0	0	0	2	2	1	2	2	0	0	0	0	0
GeneID84	32	44	45	40	51	0	0	0	0	0	1	2	1	4	2	0	0	0	0	0
GeneID85	54	49	45	38	37	0	0	0	0	0	2	1	1	2	4	0	0	0	0	0
GeneID86	36	51	57	42	45	0	0	0	0	0	1	2	1	3	1	0	0	0	0	0
GeneID87	49	51	60	51	52	0	0	0	0	0	5	1	3	2	0	0	0	0	0	0
GeneID88	54	43	43	40	49	0	0	0	0	0	2	1	2	3	4	0	0	0	0	0
GeneID89	58	56	48	37	62	0	0	0	0	0	2	2	2	0	1	0	0	0	0	0
GeneID90	57	48	51	51	48	0	0	0	0	0	1	1	2	4	1	0	0	0	0	0
GeneID91	48	51	45	61	57	0	0	0	0	0	2	2	5	1	4	0	0	0	0	0
GeneID92	52	58	47	55	60	0	0	0	0	0	1	4	0	1	1	0	0	0	0	0
GeneID93	49	49	53	41	48	0	0	0	0	0	2	0	5	0	4	0	0	0	0	0
GeneID94	48	49	53	53	48	0	0	0	0	0	1	3	2	0	4	0	0	0	0	0
GeneID95	53	40	41	46	51	0	0	0	0	0	3	5	1	1	1	0	0	0	0	0
GeneID96	54	50	45	62	36	0	0	0	0	0	2	0	4	1	4	0	0	0	0	0
GeneID97	45	57	47	53	52	0	0	0	0	0	4	1	4	0	1	0	0	0	0	0
GeneID98	55	38	57	45	43	0	0	0	0	0	3	0	1	1	4	0	0	0	0	0
GeneID99	50	53	51	46	47	0	0	0	0	0	3	2	3	3	2	0	0	0	0	0
GeneID100	48	58	50	47	63	0	0	0	0	0	4	0	1	0	2	0	0	0	0	0
GeneID101	49	63	41	45	52	0	0	0	0	0	1	0	0	2	4	0	0	0	0	0
GeneID102	39	47	50	66	53	0	0	0	0	0	3	0	3	1	1	0	0	0	0	0
GeneID103	50	49	65	56	43	0	0	0	0	0	2	3	2	3	2	0	0	0	0	0
GeneID104	47	46	51	57	45	0	0	0	0	0	1	2	3	3	2	0	0	0	0	0
GeneID105	50	40	39	55	46	0	0	0	0	0	3	3	2	1	2	0	0	0	0	0
GeneID106	48	52	50	45	47	0	0	0	0	0	1	2	3	0	1	0	0	0	0	0
GeneID107	39	52	48	43	55	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0
GeneID108	38	58	61	53	53	0	0	0	0	0	2	1	1	3	3	0	0	0	0	0
GeneID109	58	55	33	53	45	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0
GeneID110	49	53	44	47	33	0	0	0	0	0	2	3	1	1	0	0	0	0	0	0
GeneID111	46	47	50	47	48	0	0	0	0	0	5	2	1	5	0	0	0	0	0	0
GeneID112	34	40	54	37	55	0	0	0	0	0	1	1	3	4	2	0	0	0	0	0
GeneID113	52	54	45	40	49	0	0	0	0	0	7	4	2	0	1	0	0	0	0	0
GeneID114	59	50	54	42	39	0	0	0	0	0	4	1	3	4	0	0	0	0	0	0
GeneID115	57	63	75	42	50	0	0	0	0	0	2	3	1	1	2	0	0	0	0	0
GeneID116	56	48	52	42	49	0	0	0	0	0	3	1	5	0	3	0	0	0	0	0
GeneID117	56	55	50	39	49	0	0	0	0	0	5	4	1	2	0	0	0	0	0	0
GeneID118	46	57	53	52	43	0	0	0	0	0	2	3	1	2	2	0	0	0	0	0
GeneID119	46	55	41	49	48	0	0	0	0	0	1	0	1	2	3	0	0	0	0	0
GeneID120	56	45	55	49	51	0	0	0	0	0	2	2	4	1	2	0	0	0	0	0
GeneID121	59	51	52	67	58	0	0	0	0	0	1	2	1	3	1	0	0	0	0	0
GeneID122	50	49	48	50	47	0	0	0	0	0	3	2	1	0	2	0	0	0	0	0
GeneID123	48	59	50	56	51	0	0	0	0	0	1	2	0	3	5	0	0	0	0	0
GeneID124	50	47	51	45	47	0	0	0	0	0	2	2	6	2	1	0	0	0	0	0
GeneID125	52	50	42	47	37	0	0	0	0	0	5	3	1	2	1	0	0	0	0	0
GeneID126	56	66	54	51	55	0	0	0	0	0	1	4	1	4	2	0	0	0	0	0
GeneID127	48	44	58	54	60	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0
GeneID128	41	46	48	54	45	0	0	0	0	0	2	1	3	2	3	0	0	0	0	0
GeneID129	59	59	42	58	44	0	0	0	0	0	2	1	1	3	0	0	0	0	0	0
GeneID130	47	32	48	49	59	0	0	0	0	0	0	2	3	1	2	0	0	0	0	0
GeneID131	51	37	59	46	37	0	0	0	0	0	2	0	4	2	1	0	0	0	0	0
GeneID132	50	43	46	56	64	0	0	0	0	0	0	1	1	4	1	0	0	0	0	0
GeneID133	49	55	50	48	38	0	0	0	0	0	1	6	3	1	4	0	0	0	0	0
GeneID134	49	59	55	61	55	0	0	0	0	0	3	1	1	1	1	0	0	0	0	0
GeneID135	33	39	68	44	55	0	0	0	0	0	3	4	2	1	1	0	0	0	0	0
GeneID136	39	53	62	49	51	0	0	0	0	0	1	4	2	5	4	0	0	0	0	0
GeneID137	54	52	48	41	54	0	0	0	0	0	1	3	1	2	6	0	0	0	0	0
GeneID138	40	54	44	64	44	0	0	0	0	0	4	1	0	2	3	0	0	0	0	0
GeneID139	53	42	47	50	49	0	0	0	0	0	2	1	1	1	1	0	0	0	0	0
GeneID140	39	49	57	50	50	0	0	0	0	0	4	4	1	2	4	0	0	0	0	0
GeneID141	51	51	45	48	50	0	0	0	0	0	1	2	2	3	5	0	0	0	0	0
GeneID142	51	38	56	49	54	0	0	0	0	0	2	3	2	2	2	0	0	0	0	0
GeneID143	48	53	57	47	49	0	0	0	0	0	2	0	1	2	1	0	0	0	0	0
GeneID144	56	65	59	54	47	0	0	0	0	0	4	2	4	2	2	0	0	0	0	0
GeneID145	53	49	62	57	60	0	0	0	0	0	0	1	4	1	4	0	0	0	0	0
GeneID146	54	58	46	52	48	0	0	0	0	0	0	5	1	5	3	0	0	0	0	0
GeneID147	53	48	46	41	54	0	0	0	0	0	0	2	4	2	2	0	0	0	0	0
GeneID148	54	60	46	53	59	0	0	0	0	0	1	4	3	0	2	0	0	0	0	0
GeneID149	56	54	46	47	61	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0
GeneID150	42	70	60	43	46	0	0	0	0	0	1	2	2	3	1	0	0	0	0	0
GeneID151	58	39	53	59	49	0	0	0	0	0	2	4	3	6	2	0	0	0	0	0
GeneID152	38	52	54	58	44	0	0	0	0	0	5	3	1	1	2	0	0	0	0	0
GeneID153	43	50	45	55	46	0	0	0	0	0	2	1	5	1	0	0	0	0	0	0
GeneID154	51	43	53	50	62	0	0	0	0	0	0	2	3	1	1	0	0	0	0	0
GeneID155	55	46	59	57	52	0	0	0	0	0	2	4	0	1	1	0	0	0	0	0
GeneID156	54	48	46	54	51	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0
GeneID157	58	43	51	57	57	0	0	0	0	0	2	0	3	3	4	0	0	0	0	0
GeneID158	30	42	51	46	47	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0
GeneID159	54	60	53	39	57	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0
GeneID160	54	42	48	62	43	0	0	0	0	0	0	1	1	2	2	0	0	0	0	0
GeneID161	46	62	56	49	47	0	0	0	0	0	1	3	2	3	3	0	0	0	0	0
GeneID162	59	47	50	54	40	0	0	0	0	0	2	3	3	3	1	0	0	0	0	0
GeneID163	46	52	53	57	33	0	0	0	0	0	0	1	1	5	0	0	0	0	0	0
GeneID164	52	46	40	47	52	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0
GeneID165	36	45	49	53	58	0	0	0	0	0	1	4	1	2	3	0	0	0	0	0
GeneID166	45	44	47	55	50	0	0	0	0	0	2	2	1	2	4	0	0	0	0	0
GeneID167	67	50	46	58	50	0	0	0	0	0	2	4	2	2	2	0	0	0	0	0
GeneID168	57	57	48	41	55	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0
GeneID169	47	47	61	45	44	0	0	0	0	0	4	2	1	3	2	0	0	0	0	0
GeneID170	43	51	47	46	53	0	0	0	0	0	6	0	1	1	3	0	0	0	0	0
GeneID171	43	44	48	50	53	0	0	0	0	0	5	2	1	3	4	0	0	0	0	0
GeneID172	53	47	42	44	36	0	0	0	0	0	0	1	5	3	2	0	0	0	0	0
GeneID173	53	56	51	37	40	0	0	0	0	0	2	3	3	2	1	0	0	0	0	0
GeneID174	49	42	55	62	50	0	0	0	0	0	2	2	2	1	2	0	0	0	0	0
GeneID175	54	62	46	50	51	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0
GeneID176	62	49	48	50	40	0	0	0	0	0	4	1	3	1	0	0	0	0	0	0
GeneID177	47	43	42	50	47	0	0	0	0	0	0	1	4	2	0	0	0	0	0	0
GeneID178	46	51	50	48	50	0	0	0	0	0	8	1	6	3	2	0	0	0	0	0
GeneID179	43	71	56	58	56	0	0	0	0	0	4	3	2	1	0	0	0	0	0	0
GeneID180	52	44	52	61	43	0	0	0	0	0	3	2	0	2	6	0	0	0	0	0
GeneID181	46	50	48	55	47	0	0	0	0	0	7	4	1	2	1	0	0	0	0	0
GeneID182	49	53	59	58	51	0	0	0	0	0	1	3	1	1	4	0	0	0	0	0
GeneID183	48	54	43	51	39	0	0	0	0	0	3	4	1	2	3	0	0	0	0	0
GeneID184	55	44	38	70	62	0	0	0	0	0	2	0	1	0	3	0	0	0	0	0
GeneID185	43	55	59	59	57	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0
GeneID186	63	44	55	48	45	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0
GeneID187	59	44	49	50	43	0	0	0	0	0	2	0	3	1	0	0	0	0	0	0
GeneID188	47	43	50	44	50	0	0	0	0	0	5	3	1	2	2	0	0	0	0	0
GeneID189	48	55	50	57	46	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0
GeneID190	53	54	67	53	43	0	0	0	0	0	4	1	1	2	1	0	0	0	0	0
GeneID191	47	53	54	54	51	0	0	0	0	0	0	0	4	3	1	0	0	0	0	0
GeneID192	55	54	57	39	46	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0
GeneID193	43	51	39	45	35	0	0	0	0	0	2	4	1	3	1	0	0	0	0	0
GeneID194	52	61	55	45	45	0	0	0	0	0	2	0	0	3	2	0	0	0	0	0
GeneID195	44	48	42	50	61	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0
GeneID196	44	51	43	54	53	0	0	0	0	0	2	2	5	1	2	0	0	0	0	0
GeneID197	53	57	44	60	42	0	0	0	0	0	2	0	3	0	3	0	0	0	0	0
GeneID198	49	50	37	64	52	0	0	0	0	0	4	3	3	2	1	0	0	0	0	0
GeneID199	51	52	57	52	47	0	0	0	0	0	3	1	1	4	4	0	0	0	0	0
GeneID200	45	46	52	49	52	0	0	0	0	0	1	2	1	1	3	0	0	0	0	0
GeneID201	53	50	61	50	52	0	0	0	0	0	2	2	0	1	5	0	0	0	0	0
GeneID202	47	46	42	43	62	0	0	0	0	0	3	2	2	2	1	0	0	0	0	0
GeneID203	41	50	60	62	48	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0
GeneID204	42	58	57	57	46	0	0	0	0	0	4	1	2	2	0	0	0	0	0	0
GeneID205	56	58	67	46	48	0	0	0	0	0	1	3	3	3	2	0	0	0	0	0
GeneID206	54	50	52	62	57	0	0	0	0	0	2	3	2	2	2	0	0	0	0	0
GeneID207	53	50	60	46	46	0	0	0	0	0	0	3	3	3	1	0	0	0	0	0
GeneID208	49	50	46	44	56	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0
GeneID209	61	53	44	51	50	0	0	0	0	0	0	0	5	4	1	0	0	0	0	0
GeneID210	51	58	46	57	58	0	0	0	0	0	2	0	2	1	2	0	0	0	0	0
GeneID211	45	44	54	44	39	0	0	0	0	0	2	2	0	7	3	0	0	0	0	0
GeneID212	56	46	55	51	58	0	0	0	0	0	5	7	0	5	2	0	0	0	0	0
GeneID213	68	48	54	57	44	0	0	0	0	0	0	1	1	1	3	0	0	0	0	0
GeneID214	49	35	61	46	46	0	0	0	0	0	5	0	1	2	1	0	0	0	0	0
GeneID215	50	54	53	51	47	0	0	0	0	0	1	1	4	4	1	0	0	0	0	0
GeneID216	49	49	47	38	56	0	0	0	0	0	2	1	3	3	0	0	0	0	0	0
GeneID217	47	43	43	53	51	0	0	0	0	0	1	6	0	2	6	0	0	0	0	0
GeneID218	56	60	41	53	61	0	0	0	0	0	3	3	0	1	2	0	0	0	0	0
GeneID219	42	58	54	50	56	0	0	0	0	0	1	1	3	4	0	0	0	0	0	0
GeneID220	55	54	52	50	57	0	0	0	0	0	3	0	2	1	0	0	0	0	0	0
GeneID221	42	56	48	48	48	0	0	0	0	0	0	3	1	3	1	0	0	0	0	0
GeneID222	57	45	49	51	44	0	0	0	0	0	1	4	1	1	0	0	0	0	0	0
GeneID223	53	58	51	52	51	0	0	0	0	0	2	5	3	1	3	0	0	0	0	0
GeneID224	54	55	51	45	50	0	0	0	0	0	1	4	2	3	0	0	0	0	0	0
GeneID225	48	53	54	53	41	0	0	0	0	0	2	1	1	1	2	0	0	0	0	0
GeneID226	48	56	53	40	66	0	0	0	0	0	3	3	2	5	1	0	0	0	0	0
GeneID227	51	51	58	44	43	0	0	0	0	0	3	3	3	6	3	0	0	0	0	0
GeneID228	45	56	52	59	48	0	0	0	0	0	3	5	1	2	1	0	0	0	0	0
GeneID229	56	41	56	68	54	0	0	0	0	0	3	0	1	1	4	0	0	0	0	0
GeneID230	56	55	43	66	53	0	0	0	0	0	0	2	3	2	1	0	0	0	0	0
GeneID231	51	62	47	64	45	0	0	0	0	0	1	2	2	3	2	0	0	0	0	0
GeneID232	39	56	60	42	47	0	0	0	0	0	1	2	1	4	0	0	0	0	0	0
GeneID233	51	47	50	58	50	0	0	0	0	0	1	0	5	2	2	0	0	0	0	0
GeneID234	49	53	57	45	52	0	0	0	0	0	4	1	2	7	1	0	0	0	0	0
GeneID235	53	47	42	48	45	0	0	0	0	0	3	0	6	1	1	0	0	0	0	0
GeneID236	53	43	49	52	44	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0
GeneID237	52	47	46	56	54	0	0	0	0	0	3	1	1	2	2	0	0	0	0	0
GeneID238	50	40	49	58	50	0	0	0	0	0	4	3	1	1	2	0	0	0	0	0
GeneID239	52	55	38	55	47	0	0	0	0	0	1	3	4	3	1	0	0	0	0	0
GeneID240	44	54	41	51	50	0	0	0	0	0	3	1	3	1	2	0	0	0	0	0
GeneID241	52	44	45	47	61	0	0	0	0	0	1	0	1	2	4	0	0	0	0	0
GeneID242	74	43	43	48	50	0	0	0	0	0	5	2	1	2	3	0	0	0	0	0
GeneID243	57	56	45	46	46	0	0	0	0	0	5	1	2	2	1	0	0	0	0	0
GeneID244	69	50	45	66	47	0	0	0	0	0	2	4	1	1	2	0	0	0	0	0
GeneID245	52	47	52	71	59	0	0	0	0	0	0	0	1	5	2	0	0	0	0	0
GeneID246	52	57	57	53	52	0	0	0	0	0	2	4	3	3	5	0	0	0	0	0
GeneID247	48	49	49	48	51	0	0	0	0	0	6	1	1	0	3	0	0	0	0	0
GeneID248	45	53	45	52	39	0	0	0	0	0	2	2	4	5	2	0	0	0	0	0
GeneID249	47	57	65	43	65	0	0	0	0	0	1	0	2	1	2	0	0	0	0	0
GeneID250	49	51	47	60	47	0	0	0	0	0	5	4	1	0	3	0	0	0	0	0
GeneID251	56	47	49	48	54	0	0	0	0	0	1	3	2	5	1	0	0	0	0	0
GeneID252	57	54	31	52	45	0	0	0	0	0	2	1	3	1	1	0	0	0	0	0
GeneID253	52	47	54	44	51	0	0	0	0	0	2	2	1	2	2	0	0	0	0	0
GeneID254	53	59	35	58	57	0	0	0	0	0	3	0	1	4	4	0	0	0	0	0
GeneID255	49	53	56	44	39	0	0	0	0	0	1	4	3	2	4	0	0	0	0	0
GeneID256	40	45	48	53	44	0	0	0	0	0	1	1	1	3	3	0	0	0	0	0
GeneID257	45	53	53	50	50	0	0	0	0	0	1	2	2	1	1	0	0	0	0	0
GeneID258	66	55	58	46	41	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0
GeneID259	58	56	66	60	48	0	0	0	0	0	2	1	4	2	2	0	0	0	0	0
GeneID260	56	41	52	56	61	0	0	0	0	0	1	2	0	2	3	0	0	0	0	0
GeneID261	44	59	48	57	51	0	0	0	0	0	2	2	3	2	2	0	0	0	0	0
GeneID262	48	44	59	54	50	0	0	0	0	0	2	0	3	1	1	0	0	0	0	0
GeneID263	46	50	41	51	44	0	0	0	0	0	2	2	1	1	3	0	0	0	0	0
GeneID264	52	41	43	42	64	0	0	0	0	0	2	7	1	3	1	0	0	0	0	0
GeneID265	49	66	52	57	38	0	0	0	0	0	0	0	3	3	6	0	0	0	0	0
GeneID266	43	60	48	48	59	0	0	0	0	0	1	4	3	5	2	0	0	0	0	0
GeneID267	50	49	53	47	54	0	0	0	0	0	1	4	2	3	1	0	0	0	0	0
GeneID268	49	53	55	40	47	0	0	0	0	0	2	5	2	1	0	0	0	0	0	0
GeneID269	44	43	46	57	46	0	0	0	0	0	1	0	3	3	1	0	0	0	0	0
GeneID270	58	58	48	54	45	0	0	0	0	0	3	2	2	1	1	0	0	0	0	0
GeneID271	40	41	51	50	55	0	0	0	0	0	0	1	2	1	7	0	0	0	0	0
GeneID272	56	45	60	48	45	0	0	0	0	0	2	2	1	1	4	0	0	0	0	0
GeneID273	50	44	42	48	38	0	0	0	0	0	0	3	6	1	1	0	0	0	0	0
GeneID274	51	51	59	40	45	0	0	0	0	0	0	1	1	6	3	0	0	0	0	0
GeneID275	40	56	66	64	47	0	0	0	0	0	6	0	4	1	0	0	0	0	0	0
GeneID276	50	47	47	38	63	0	0	0	0	0	2	3	3	2	0	0	0	0	0	0
GeneID277	49	42	51	46	52	0	0	0	0	0	3	5	3	1	2	0	0	0	0	0
GeneID278	58	50	53	48	41	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0
GeneID279	45	54	42	55	54	0	0	0	0	0	2	0	2	1	2	0	0	0	0	0
GeneID280	61	53	49	46	49	0	0	0	0	0	2	1	2	1	1	0	0	0	0	0
GeneID281	46	41	51	53	59	0	0	0	0	0	3	5	0	3	2	0	0	0	0	0
GeneID282	42	38	49	55	46	0	0	0	0	0	1	3	3	2	4	0	0	0	0	0
GeneID283	53	58	46	47	50	0	0	0	0	0	6	0	3	2	8	0	0	0	0	0
GeneID284	53	44	58	33	46	0	0	0	0	0	2	0	3	1	1	0	0	0	0	0
GeneID285	48	53	53	46	47	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0
GeneID286	48	53	49	49	45	0	0	0	0	0	3	1	1	1	1	0	0	0	0	0
GeneID287	44	55	58	49	63	0	0	0	0	0	2	1	3	4	2	0	0	0	0	0
GeneID288	44	46	43	40	47	0	0	0	0	0	2	3	3	1	1	0	0	0	0	0
GeneID289	48	58	50	59	36	0	0	0	0	0	1	2	1	2	2	0	0	0	0	0
GeneID290	53	46	47	48	50	0	0	0	0	0	4	0	2	2	2	0	0	0	0	0
GeneID291	60	61	50	48	60	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0
GeneID292	50	53	62	63	47	0	0	0	0	0	2	2	2	1	1	0	0	0	0	0
GeneID293	46	59	48	44	63	0	0	0	0	0	1	5	1	0	1	0	0	0	0	0
GeneID294	45	43	42	58	46	0	0	0	0	0	1	2	6	2	3	0	0	0	0	0
GeneID295	49	48	54	55	48	0	0	0	0	0	3	1	0	4	1	0	0	0	0	0
GeneID296	50	52	39	58	50	0	0	0	0	0	2	2	2	2	2	0	0	0	0	0
GeneID297	50	52	63	46	47	0	0	0	0	0	2	4	3	4	5	0	0	0	0	0
GeneID298	55	65	54	66	50	0	0	0	0	0	2	1	3	3	2	0	0	0	0	0
GeneID299	52	47	34	47	51	0	0	0	0	0	0	6	5	1	3	0	0	0	0	0
